MeshSize L2Error H1Error EnergyError NbCells NbEdges NbInternalEdges EdgeDegree
0.765367 40.7546 24.7913 -nan 12 28 20 0
0.373464 0.457091 0.320152 0.673566 56 124 100 0
0.197546 0.0909277 0.0889823 0.30537 220 468 412 0
0.0950394 0.0216966 0.0362748 0.149789 852 1764 1644 0
0.0510235 0.00535303 0.0170664 0.0745765 3320 6764 6516 0
