MeshSize L2Error H1Error EnergyError NbCells NbEdges NbInternalEdges EdgeDegree
0.765367 0.186151 0.0577383 0.998825 12 28 20 0
0.373464 0.0262786 0.0298042 0.999962 56 124 100 0
0.197546 0.00630769 0.0149861 0.999998 220 468 412 0
0.0950394 0.00160541 0.00733059 1 852 1764 1644 0
0.0510235 0.000412532 0.00382869 1 3320 6764 6516 0
