MeshSize L2Error H1Error EnergyError NbCells NbEdges NbInternalEdges EdgeDegree
0.765367 0.148574 0.318622 1.00302 12 28 20 0
0.373464 0.095748 0.13403 1.00018 56 124 100 0
0.197546 0.0178192 0.0466363 1 220 468 412 0
0.0950394 0.00440838 0.0209455 1 852 1764 1644 0
0.0510235 0.00110105 0.0101921 1 3320 6764 6516 0
