MeshSize L2Error H1Error EnergyError NbCells NbEdges NbInternalEdges EdgeDegree
0.765367 0.640423 0.968403 0.129657 12 28 20 0
0.373464 0.718472 0.911739 0.268542 56 124 100 0
0.197546 2.23252 1.6079 -nan 220 468 412 0
0.0950394 2.55887 3.06018 -nan 852 1764 1644 0
0.0510235 0.0993189 0.156925 -nan 3320 6764 6516 0
