MeshSize L2Error H1Error EnergyError NbCells NbEdges NbInternalEdges EdgeDegree
0.765367 0.981508 0.815474 0.808717 12 28 20 0
0.373464 2.23474 2.07533 -nan 56 124 100 0
0.197546 0.165063 0.226339 -nan 220 468 412 0
0.0950394 0.0357709 0.084274 -nan 852 1764 1644 0
0.0510235 0.00869553 0.0388452 -nan 3320 6764 6516 0
